Current program,Year of study,Program level,Sex,Ethnicity,Age group,Preferred learning style,Used ChatGPT for learning purposes,"How often  ChatGPT is used for educational
purposes",ChatGPT usage purposes,ChatGPT usage hours per week,Satisfaction with the quality of responses by ChatGPT,"How helpful ChatGPT in improving the
understanding of course material","Improvement of marks
since using ChatGPT for personalized learning","Level of confidence in understanding of
subjects after using ChatGPT","Sample situations where
ChatGPT significantly aided learning","Used any features of ChatGPT that tailor
responses to  learning preferences or
styles","If yes, how effective are the tailored
responses in enhancing comprehension and
knowledge acquisition","Feel that personalized responses from
ChatGPT have improved grades or academic
performance","Improvements to suggest for ChatGPT
to better support learning","Think that integrating ChatGPT more deeply into
the curriculum would benefit students","Features that would like to be seen in ChatGPT to
enhance  personalized learning capabilities","Additional comments or suggestions regarding
the use of ChatGPT in learning process"
CSIS,Second,Postgraduate,Male,Hispanic/Latino,25-34,Auditory,Yes,Weekly,"Understanding concepts, Exam Preparation",Less than 1 hour,Satisfied,Neutral,No change,Neutral,,No,,Neutral,,Disagree,,
CSIS,First,Diploma,Female,Asian,25-34,Auditory,Yes,Daily,"Understanding concepts, Assignments, Tutoring or extra help",1 to 3 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,Ask for explaining some concept,Yes,Very effective,Agree,"The way ChatGPT rectify answers that I asked, more precise",Strongly Agree,Visualization,
CSIS,Second,Postgraduate,Female,Asian,25-34,Auditory,No,Never,Understanding concepts,Less than 1 hour,Neutral,Helpful,No change,Neutral,Explain difficult concepts,No,Neutral,Neutral,,Neutral,More examples,Not use for exams
Business,Third,Bachelors,Male,Asian,25-34,Auditory,No,,,,,,,,,,,,,,,
CSIS,Second,Postgraduate,Male,Asian,25-34,Auditory,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,When I search for concepts that I don't understand in class,Yes,Very effective,Agree,more accurate amd don't fake citations,Strongly Agree,Summarize lectures,
CSIS,Second,Diploma,Female,Asian,25-34,Auditory,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,No change,Confident,Explain code/concepts,No,Neutral,,Talk,,,
CSIS,First,Postgraduate,Female,Asian,25-34,Auditory,No,,,,,,,,,,,,,,,
Finance,Second,Bachelors,Female,Asian,18-24,Auditory,Yes,Rarely,"Understanding concepts, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,No change,Confident,"Note taking, explaining topics",No,,Neutral,,Strongly Agree,not sure,
CSIS,First,Diploma,Female,Asian,18-24,Auditory,Yes,Weekly,"Understanding concepts, Tutoring or extra help",3 to 5 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,for learning formulas which sometimes we forget after classes,Yes,Effective,Strongly Agree,"it provides long answers, it should be on point",Strongly Agree,"sometimes, we have chart or pictures, so there should be an option to upload that image",
CSIS,Second,Diploma,Male,Asian,18-24,Auditory,Yes,Weekly,Understanding concepts,Less than 1 hour,Neutral,Very Helpful,"Yes, slight improvement",Confident,helped me a lot in the coding side,No,,Strongly Agree,maybe explaining with real world experience,Strongly Agree,the explanation,
